Student{id=9093, firstName=mqyhlGIkqPZpmedambqbTdApmMIuKv, lastName=AXFNZuqekdsXbTsTbSsizPMAoDjbZy, birthday=1999-11-06, GPA=7.4}
Student{id=5626, firstName=nGlovQhmkdkfXnwHruunwNbPnjMckD, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7839, firstName=ZfSmeyMbQwiLYXTtEQWdsKzaUeYTWW, lastName=ENCdGntZeVkUIlyJMnJZHVLKoYkbBP, birthday=2001-02-27, GPA=2.7}
Student{id=79, firstName=rVphBTnhdhvMHocNFXRPOvhDqYyNPJ, lastName=ENiiKiIFITtYkKiOivHJalwrRcNasf, birthday=2000-02-20, GPA=7.3}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=ETgOzFfdCsyABcUJfqIjtbpJoKRMKc, birthday=1999-03-04, GPA=3.4}
Student{id=470, firstName=BQKeXQvYcfNFYWarrveOPpBPCNOUdP, lastName=FMbTFmdPXfWuRCivWpMRDivBTbVYQi, birthday=2000-09-20, GPA=7.8}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=ETgOzFfdCsyABcUJfqIjtbpJoKRMKc, birthday=1999-03-04, GPA=3.4}
Student{id=4758, firstName=jYIYasSkMNAVHEDVKYoQXYOVEOQMjc, lastName=TpnVnkvUGKKeJvVyaJNWrNCcNmNfmn, birthday=1999-04-04, GPA=0.2}
Student{id=5626, firstName=nGlovQhmkdkfXnwHruunwNbPnjMckD, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=7205, firstName=kuINGdwWAIzieLIDYVEOCYTviVPEYJ, lastName=STOTIwImkoOLahRRHUQTvkPOJnTNaU, birthday=2001-07-03, GPA=3.5}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=7205, firstName=kuINGdwWAIzieLIDYVEOCYTviVPEYJ, lastName=STOTIwImkoOLahRRHUQTvkPOJnTNaU, birthday=2001-07-03, GPA=3.5}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=5300, firstName=ssdpZapgRaFjRDfMESsIctfPQlPwBM, lastName=ZYfIIcVFUcOyLOmMPlfuOIZAzKGPor, birthday=1999-01-26, GPA=8.9}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=1848, firstName=GSXWfAWroAthdBBjPmWzELprRKikKi, lastName=AiYwbWGRnJfBmPAFQZqdQPyeslhWuR, birthday=2000-01-17, GPA=2.1}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=156, firstName=yFNldhuKMYBOGPawkvbEoVfXFhsJXT, lastName=BpMEQFBEgspCuOTzhYGHGjPzJvPtcD, birthday=2000-05-02, GPA=3.6}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7565, firstName=ZMJUqsPehgQrbKjqeNHkBGGZqvAZSA, lastName=DvQowNpGvjjVhdCUyvDOAFFjTNKJGe, birthday=2002-02-26, GPA=7.9}
Student{id=79, firstName=rVphBTnhdhvMHocNFXRPOvhDqYyNPJ, lastName=ENiiKiIFITtYkKiOivHJalwrRcNasf, birthday=2000-02-20, GPA=7.3}
Student{id=470, firstName=BQKeXQvYcfNFYWarrveOPpBPCNOUdP, lastName=FMbTFmdPXfWuRCivWpMRDivBTbVYQi, birthday=2000-09-20, GPA=7.8}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=5300, firstName=ssdpZapgRaFjRDfMESsIctfPQlPwBM, lastName=ZYfIIcVFUcOyLOmMPlfuOIZAzKGPor, birthday=1999-01-26, GPA=8.9}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=1632, firstName=WgbCohqmqrQYToincOQSkLESucAYJl, lastName=TtEVpTqsAbjSgliGXKcRfbpGcwXUlQ, birthday=1999-03-31, GPA=3.6}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=5300, firstName=ssdpZapgRaFjRDfMESsIctfPQlPwBM, lastName=ZYfIIcVFUcOyLOmMPlfuOIZAzKGPor, birthday=1999-01-26, GPA=8.9}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=1632, firstName=WgbCohqmqrQYToincOQSkLESucAYJl, lastName=TtEVpTqsAbjSgliGXKcRfbpGcwXUlQ, birthday=1999-03-31, GPA=3.6}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=5300, firstName=ssdpZapgRaFjRDfMESsIctfPQlPwBM, lastName=ZYfIIcVFUcOyLOmMPlfuOIZAzKGPor, birthday=1999-01-26, GPA=8.9}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=1632, firstName=WgbCohqmqrQYToincOQSkLESucAYJl, lastName=TtEVpTqsAbjSgliGXKcRfbpGcwXUlQ, birthday=1999-03-31, GPA=3.6}
Student{id=6025, firstName=kOukXAOhyZvunkzKcajkyQOVvwGBQf, lastName=tXOtfVzQaFBSJGvvkzwwSPfjCJVjMa, birthday=1999-01-01, GPA=2.8}
Student{id=6430, firstName=lWktTQXMyCAmJNtkhkOMdDvvMrPqWy, lastName=ubgnlHSwKGifoPMYEvTGorbyGVKFEp, birthday=1999-01-05, GPA=4.6}
Student{id=6791, firstName=nBDowOLVrQWqFvpGupSUKeEiRbFuzq, lastName=gJnfCSIfbDJGleVRcLTrzeJTcpNvft, birthday=1999-01-08, GPA=0.5}
Student{id=4891, firstName=RMhurvGKWvPUunUTXobsNnbvimwGtz, lastName=hsFjCzekWsNfioZavcXmHrwVlttvfe, birthday=1999-01-11, GPA=4.2}
Student{id=5774, firstName=lYQzFlZVjgOhMzHZCoeuKFDazzZmAb, lastName=IytdCuSQsTGyOIyfnvvYErXGgXqqVZ, birthday=1999-01-23, GPA=3.1}
Student{id=5300, firstName=ssdpZapgRaFjRDfMESsIctfPQlPwBM, lastName=ZYfIIcVFUcOyLOmMPlfuOIZAzKGPor, birthday=1999-01-26, GPA=8.9}
Student{id=669, firstName=hmOACjMZufJSMNdMRdckpoviGQTsvp, lastName=XovUWCvjZikKvXtBPRcWzUBBSGQAtC, birthday=1999-02-13, GPA=3.8}
Student{id=659, firstName=AZFYRPeTHvMcssvuXWirmVpmwjvEhu, lastName=TfWQpYFHJfqywFylsidhhRjthZYwdS, birthday=1999-02-26, GPA=5.9}
Student{id=7933, firstName=ZCbjkzbYwWZDMlcSAlvLZeyAyiFPVR, lastName=GDQlpCvoGuoFwcYvmLfnciqUrZWRXP, birthday=1999-03-04, GPA=3.4}
Student{id=1632, firstName=WgbCohqmqrQYToincOQSkLESucAYJl, lastName=TtEVpTqsAbjSgliGXKcRfbpGcwXUlQ, birthday=1999-03-31, GPA=3.6}
Student{id=1848, firstName=GSXWfAWroAthdBBjPmWzELprRKikKi, lastName=AiYwbWGRnJfBmPAFQZqdQPyeslhWuR, birthday=2000-01-17, GPA=2.1}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7565, firstName=ZMJUqsPehgQrbKjqeNHkBGGZqvAZSA, lastName=DvQowNpGvjjVhdCUyvDOAFFjTNKJGe, birthday=2002-02-26, GPA=7.9}
Student{id=79, firstName=rVphBTnhdhvMHocNFXRPOvhDqYyNPJ, lastName=ENiiKiIFITtYkKiOivHJalwrRcNasf, birthday=2000-02-20, GPA=7.3}
Student{id=470, firstName=BQKeXQvYcfNFYWarrveOPpBPCNOUdP, lastName=FMbTFmdPXfWuRCivWpMRDivBTbVYQi, birthday=2000-09-20, GPA=7.8}
Student{id=1241, firstName=fNYtMeEhSwoPiSyNnriTcyePyWNKWp, lastName=FTTfHGmjjfbiQIFviJTrHMiUZdPUqJ, birthday=2000-09-11, GPA=4.0}
Student{id=1848, firstName=GSXWfAWroAthdBBjPmWzELprRKikKi, lastName=AiYwbWGRnJfBmPAFQZqdQPyeslhWuR, birthday=2000-01-17, GPA=2.1}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7565, firstName=ZMJUqsPehgQrbKjqeNHkBGGZqvAZSA, lastName=DvQowNpGvjjVhdCUyvDOAFFjTNKJGe, birthday=2002-02-26, GPA=7.9}
Student{id=79, firstName=rVphBTnhdhvMHocNFXRPOvhDqYyNPJ, lastName=ENiiKiIFITtYkKiOivHJalwrRcNasf, birthday=2000-02-20, GPA=7.3}
Student{id=470, firstName=BQKeXQvYcfNFYWarrveOPpBPCNOUdP, lastName=FMbTFmdPXfWuRCivWpMRDivBTbVYQi, birthday=2000-09-20, GPA=7.8}
Student{id=1241, firstName=fNYtMeEhSwoPiSyNnriTcyePyWNKWp, lastName=FTTfHGmjjfbiQIFviJTrHMiUZdPUqJ, birthday=2000-09-11, GPA=4.0}
Student{id=1848, firstName=GSXWfAWroAthdBBjPmWzELprRKikKi, lastName=AiYwbWGRnJfBmPAFQZqdQPyeslhWuR, birthday=2000-01-17, GPA=2.1}
Student{id=767, firstName=pLYHFdLYWYfwhSSefnXaBcGrSYlDrq, lastName=AivezTaNgOjgQzaoqUDmnXdKSOTaAF, birthday=2001-02-08, GPA=0.1}
Student{id=3793, firstName=bDgBezefYeiPJKVivzvkHSTdEDrjFE, lastName=CvDwtGkQJVvRSFoZaVBkyNyLOvqEZj, birthday=1999-12-06, GPA=2.4}
Student{id=8329, firstName=TJnOeCWgBOANQqSwrGFAtavgNPdpmW, lastName=CvkABbXvXfqTkpZyYOzSPOrlyvvouL, birthday=2000-09-10, GPA=6.5}
Student{id=5626, firstName=JbHZCDFgXqoTLSvQkvjzKDvaZoOyUL, lastName=CvkcNVKGtuGyvHYwNwLUdbiqpYVvUK, birthday=1999-04-12, GPA=1.4}
Student{id=5545, firstName=wYWIQGXiXnnOqWbCHErVTXvtzSIYkG, lastName=DSONzQuXPXzVlKnKSujwDOsvREOHLo, birthday=2002-08-01, GPA=3.9}
Student{id=7565, firstName=ZMJUqsPehgQrbKjqeNHkBGGZqvAZSA, lastName=DvQowNpGvjjVhdCUyvDOAFFjTNKJGe, birthday=2002-02-26, GPA=7.9}
